Species	Cluster	ST	Strain	Accession	Paper	
ecoli	1000	unknown	cq9	GCF_003402955.1	PROVISIONAL	
ecoli	21	131	EC958	GCF_000285655.3	https://journals.asm.org/doi/full/10.1128/mSphere.00550-21	
ecoli	23	10	Fec10	GCF_009497625.2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7984374/	
ecoli	16	73	ST73	GCF_900537035.1	https://www.microbiologyresearch.org/content/journal/mgen/10.1099/mgen.0.000255	
ecoli	19	69	CFSAN061770	GCF_002278115.2	https://www.sciencedirect.com/science/article/pii/S1567134818306312	
ecoli	14	95	SF-468	GCF_001280345.1	https://journals.asm.org/doi/full/10.1128/genomeA.01241-15	
ecoli	2	127	536	GCF_000013305.1	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0101547#s2	
ecoli	8	11	EC4115	GCF_000021125.1	https://www.microbiologyresearch.org/content/journal/mgen/10.1099/mgen.0.000499	
ecoli	10	1193	WP3-W18-CRE-03	GCF_014168775.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_014168775.1	
ecoli	18	117	FDAARGOS_1286	GCF_016903375.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_016903375.1	
ecoli	13	38	WP5-S18-ESBL-07	GCF_014169395.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_014169395.1	
ecoli	28	372	upec-239	GCF_000778275.1	https://www.microbiologyresearch.org/content/journal/mgen/10.1099/mgen.0.000499	
ecoli	20	58	EcPF20	GCF_017352075.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_017352075.1	
ecoli	27	1434	CFSAN051542	GCF_002105735.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_002105735.1	
ecoli	24	10	Fec10	GCF_009497625.2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7984374/	
ecoli	29	345	cq9	GCF_003402955.1	PROVISIONAL	
ecoli	7	101	AR_0118	GCF_002055635.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_002055635.1	
ecoli	3	12	FDAARGOS_1258	GCF_016889325.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_016889325.1	
ecoli	11	399	2273-PO3	GCF_014770655.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_014770655.1	
ecoli	22	648	WP4-S18-ESBL-09	GCF_014169175.1	https://www.ncbi.nlm.nih.gov/assembly/GCF_014169175.1	
